COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Haiti,HTI,AMRO,REPORTING,2023-06-02,664150,521396,5.825,4.573,350403,3.073,,,2,,
Iceland,ISL,EURO,REPORTING,2023-04-16,869976,307269,238.9,84.403,297921,81.816,,2020-12-30,5,254556,69.907
Jersey,JEY,EURO,OWID,2023-01-29,266953,84365,247.646,78.264,81882,75.96,,,3,73662,68.335
Lebanon,LBN,EMRO,REPORTING,2022-12-22,5814699,2740227,85.192,40.147,2414223,35.371,,2021-02-14,10,660249,9.673
Malaysia,MYS,WPRO,REPORTING,2023-06-25,72626457,28134784,224.391,86.927,27547903,85.114,,2021-02-24,8,16336861,50.475
Marshall Islands,MHL,WPRO,REPORTING,2023-03-24,110742,47077,187.083,79.53,40689,68.738,,2020-12-29,3,18559,31.353
Myanmar,MMR,SEARO,REPORTING,2023-05-02,89454913,40354937,164.41,74.169,35196377,64.688,,2021-01-27,2,13903599,25.553
Oman,OMN,EMRO,REPORTING,2022-10-25,7086050,3257365,138.762,63.787,3048826,59.703,,2020-12-29,11,779859,15.272
Pakistan,PAK,EMRO,REPORTING,2023-07-04,339835733,165563084,153.847,74.952,140470965,63.593,,2021-02-03,11,52023676,23.552
Republic of Moldova,MDA,EURO,REPORTING,2023-06-11,2288948,1108879,56.7,27.489,1078505,26.736,,2021-03-03,7,402985,9.99
Saint Kitts and Nevis,KNA,AMRO,REPORTING,2023-06-02,64297,33794,120.877,63.532,27000,50.76,,2021-02-22,3,3465,6.514
Slovenia,SVN,EURO,REPORTING,2023-06-04,3006861,1222336,143.5,58.321,1192059,56.877,,2020-12-23,8,649891,31.008
Somalia,SOM,EMRO,REPORTING,2023-04-30,9443849,8370355,59.421,52.666,7035193,44.265,,2021-03-16,11,,
Togo,TGO,AFRO,REPORTING,2023-05-28,3405893,2248264,41.14,27.157,1554066,18.772,,2021-03-10,1,427804,5.168
Tokelau,TKL,WPRO,REPORTING,2022-12-05,6342,2203,469.778,163.185,2203,163.185,,2021-07-20,1,968,71.704
Tunisia,TUN,EMRO,REPORTING,2023-06-20,13253317,7218871,112.139,61.08,6401841,54.167,,2021-03-13,10,1258577,10.649
Vanuatu,VUT,WPRO,REPORTING,2023-02-20,355430,176624,115.721,57.505,162250,52.825,,2021-06-02,3,16556,5.39
Zambia,ZMB,AFRO,REPORTING,2023-04-09,13614983,11637730,74.059,63.304,9147920,49.76,,2021-04-14,3,1137360,6.187
Zimbabwe,ZWE,AFRO,REPORTING,2023-06-18,13935112,7340570,93.758,49.388,5504472,37.035,,2021-02-18,4,2140084,14.399
Andorra,AND,EURO,REPORTING,2023-05-21,157059,57912,203.3,76.023,53500,70.231,,2021-01-20,4,43068,56.537
Anguilla,AIA,AMRO,REPORTING,2023-06-02,24611,10854,164.051,72.35,10380,69.191,,2021-02-05,2,3046,20.304
Bahamas,BHS,AMRO,REPORTING,2023-06-02,366359,174810,93.163,44.453,166972,42.46,,2021-03-14,4,33717,8.574
Barbados,BRB,AMRO,REPORTING,2023-06-02,381721,163846,132.83,57.015,155036,53.949,,2021-01-08,5,62839,21.867
Belarus,BLR,EURO,REPORTING,2023-05-14,21997703,6439812,232.8,68.151,6355081,67.254,,2021-02-03,5,5713720,60.467
Belize,BLZ,AMRO,REPORTING,2023-06-02,510770,258456,128.454,64.999,221408,55.682,,2021-03-01,5,50238,12.634
Benin,BEN,AFRO,REPORTING,2022-12-18,4232541,3697190,34.913,30.497,2742837,22.625,,2021-03-29,5,,
Bermuda,BMU,AMRO,REPORTING,2023-06-02,132042,48554,212.037,77.97,47657,76.529,,2021-01-11,3,31829,51.112
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2023-06-02,16016290,7492606,137.208,64.187,6295624,53.933,,2021-01-30,7,2487668,21.311
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,2021-09-01,35845,19109,137.934,73.533,16736,64.401,,,2,,
Botswana,BWA,AFRO,REPORTING,2023-05-07,3171667,1951054,134.871,82.966,1663490,70.738,,2021-03-26,6,507654,21.587
Cambodia,KHM,WPRO,REPORTING,2023-07-07,47380134,15301258,283.392,91.52,14674372,87.771,,2021-02-10,7,10716594,64.098
Cameroon,CMR,AFRO,REPORTING,2023-06-11,4784894,3692198,18.025,13.909,3139931,11.828,,2021-04-12,4,775293,2.921
Canada,CAN,AMRO,REPORTING,2023-06-02,97596974,32645232,258.589,86.495,31311576,82.962,,2020-12-14,6,19776324,52.399
Chad,TCD,AFRO,REPORTING,2023-06-11,8549887,6254729,52.051,38.079,6127422,37.303,,2021-06-04,1,4042573,24.611
Croatia,HRV,EURO,REPORTING,2023-06-11,5432701,2320124,133.9,57.206,2246534,55.358,,2020-12-23,6,994415,24.504
French Polynesia,PYF,WPRO,REPORTING,2023-05-01,480028,190908,170.884,67.961,186803,66.5,,2021-01-18,2,102317,36.424
Georgia,GEO,EURO,REPORTING,2023-04-16,2738178,1300473,68.6,32.6,1186709,29.748,,2021-03-17,4,250996,6.292
Grenada,GRD,AMRO,REPORTING,2023-06-02,90686,44241,80.593,39.317,39034,34.69,,2021-02-15,5,7411,6.586
Indonesia,IDN,SEARO,REPORTING,2023-06-06,447595845,203845350,163.641,74.526,174893201,63.941,,2021-01-13,7,68857294,25.174
Iran (Islamic Republic of),IRN,EMRO,REPORTING,2023-07-04,155429149,65191179,185.05,77.615,58576728,69.74,,2021-02-09,12,28573514,34.019
Kenya,KEN,AFRO,REPORTING,2023-04-02,23750431,14494372,44.169,26.956,11090440,20.625,,2021-03-05,5,2000636,3.721
Kosovo,XKX,EURO,REPORTING,2023-01-15,1836901,904558,102.3,50.375,824752,45.93,,2021-03-31,2,105624,5.882
Liberia,LBR,AFRO,REPORTING,2022-12-11,4460668,3903802,88.196,77.186,3730967,73.768,,2021-04-01,1,1987,0.039
Madagascar,MDG,AFRO,REPORTING,2023-06-18,3021300,2643237,10.911,9.545,2563217,9.256,,2021-05-10,3,160752,0.581
Mauritania,MRT,AFRO,REPORTING,2023-05-14,4068530,2101236,87.502,45.191,1538089,33.08,,2021-03-26,2,383866,8.256
Nepal,NPL,SEARO,REPORTING,2023-06-20,62086946,27804935,213.088,95.429,24389063,83.705,,2021-01-27,8,9892948,33.953
American Samoa,ASM,WPRO,REPORTING,2023-03-29,114706,46206,207.812,83.711,42479,76.959,,2020-12-21,3,24160,43.77
Austria,AUT,EURO,REPORTING,2023-06-11,20402999,6899834,229.2,77.626,6682310,75.073,,2020-12-30,10,5405808,60.732
Bangladesh,BGD,SEARO,REPORTING,2023-06-25,360177584,151379833,218.701,91.918,141208849,85.743,,2021-01-27,8,67588902,41.04
Brunei Darussalam,BRN,WPRO,REPORTING,2023-06-30,1293100,451149,295.58,103.125,446714,102.111,,2021-04-03,5,340466,77.825
Bulgaria,BGR,EURO,REPORTING,2023-06-11,4618004,2108377,66.4,30.33,2080169,29.924,,2020-12-30,4,832572,11.977
Central African Republic,CAF,AFRO,REPORTING,2023-06-18,3109186,2600389,64.375,53.841,2484985,51.451,,2021-03-19,2,366221,7.583
Cuba,CUB,AMRO,REPORTING,2023-06-02,38105906,10749013,336.428,94.9,10016328,88.432,,,3,8742146,77.182
Curaçao,CUW,AMRO,REPORTING,2023-06-02,260324,108601,158.644,66.183,100885,61.48,,2021-02-24,3,43138,26.289
Ecuador,ECU,AMRO,REPORTING,2023-02-24,39495110,15329151,223.856,86.885,14233323,80.674,,2021-01-20,4,7708466,43.691
Estonia,EST,EURO,REPORTING,2023-06-11,2204676,845120,165.9,63.592,842153,63.369,,2020-12-23,9,487291,36.667
Ethiopia,ETH,AFRO,REPORTING,2023-05-28,68856793,52489512,59.894,45.658,43653006,37.971,,2021-03-13,4,5978070,5.2
Fiji,FJI,WPRO,REPORTING,2023-06-29,1547226,712025,172.596,79.428,641194,71.526,,2021-03-07,3,172078,19.196
Gambia,GMB,AFRO,REPORTING,2023-03-19,1444492,674314,59.772,27.903,539186,22.311,,2021-03-10,2,53741,2.224
Guadeloupe,GLP,AMRO,REPORTING,2023-06-02,400129,152113,100.001,38.016,146098,36.513,,2021-01-08,7,89009,22.245
Honduras,HND,AMRO,REPORTING,2023-06-02,16901540,6485671,170.643,65.481,5751048,58.064,,2021-02-22,6,4665196,47.101
Ireland,IRL,EURO,REPORTING,2023-06-11,12386942,4108479,249.5,85.508,4062803,81.838,,2020-12-30,5,3057548,61.589
Jordan,JOR,EMRO,REPORTING,2022-08-21,10057975,4821579,98.577,47.256,4558313,44.676,,2021-01-13,10,682211,6.686
Libya,LBY,EMRO,REPORTING,2023-01-16,3739158,2316327,54.417,33.71,1236102,17.989,,2021-04-11,10,186729,2.718
Lithuania,LTU,EURO,REPORTING,2023-06-11,4532385,1956467,162.2,70.176,1907044,68.253,,2020-12-23,5,902046,32.284
Malawi,MWI,AFRO,REPORTING,2023-06-18,8306224,5343858,43.42,27.935,4199954,21.955,,2021-03-11,2,1130407,5.909
Maldives,MDV,SEARO,REPORTING,2023-05-25,951764,399308,176.075,73.872,385167,71.255,,2021-02-01,8,167289,30.948
Malta,MLT,EURO,REPORTING,2023-06-11,1280143,450522,248.8,87.554,444900,86.462,,2020-12-23,4,352633,68.53
Netherlands,NLD,EURO,REPORTING,2022-09-11,36105753,12776868,207.4,73.398,11957152,68.689,,2021-01-06,6,9417108,54.098
Niger,NER,AFRO,REPORTING,2023-03-12,7339299,6217508,30.319,25.685,5454196,22.532,,2021-03-29,2,,
Romania,ROU,EURO,REPORTING,2023-06-11,16110560,8187976,83.3,42.361,8142177,42.125,,2021-01-27,4,1768737,9.151
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,2023-06-02,73443,37532,66.201,33.831,31632,28.513,,2021-02-01,5,4279,3.857
Slovakia,SVK,EURO,REPORTING,2023-06-11,7221055,2839404,132.3,52.024,2791174,51.14,,2020-12-23,7,1686230,30.895
Solomon Islands,SLB,WPRO,REPORTING,2023-07-04,612700,335796,89.2,48.887,254016,36.981,,2021-03-23,4,27896,4.061
Sudan,SDN,EMRO,REPORTING,2023-04-02,22598737,15207452,51.537,34.681,13416394,30.597,,2021-03-09,11,3891363,8.874
Tonga,TON,WPRO,REPORTING,2023-06-30,204737,87375,193.705,82.667,77390,73.22,,2021-04-14,2,38588,36.509
United Republic of Tanzania,TZA,AFRO,REPORTING,2023-03-12,39392419,34434933,65.946,57.647,32165791,53.848,,2021-07-28,3,,
Uruguay,URY,AMRO,REPORTING,2023-06-02,9023199,3009801,259.755,86.645,2902437,83.554,,2021-02-27,3,2079949,59.877
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-06-02,37860994,22157232,133.145,77.92,14287370,50.244,,2021-02-22,6,651502,2.291
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-06-02,136512,64290,139.399,65.65,62384,63.703,,2021-03-01,6,9838,10.046
Bonaire,XAA,AMRO,REPORTING,2023-06-02,43070,17460,205.929,83.481,16189,77.404,,,,8125,38.848
Colombia,COL,AMRO,REPORTING,2023-06-02,90506612,43012174,177.872,84.532,37019801,72.755,,2021-02-17,5,14792792,29.072
Comoros,COM,AFRO,REPORTING,2022-10-02,835021,438825,96.023,50.463,397080,45.662,,2021-04-10,3,,
Cyprus,CYP,EURO,REPORTING,2023-06-11,1858908,669218,209.3,75.369,656129,73.888,,2020-12-23,5,487380,54.885
Democratic Republic of the Congo,COD,AFRO,REPORTING,2023-06-04,18808671,17045721,21.001,19.032,14399520,16.078,,2021-04-19,1,,
Equatorial Guinea,GNQ,AFRO,REPORTING,2022-07-24,488738,270109,34.836,19.252,214032,15.255,,2021-02-12,2,4597,0.328
Eritrea,ERI,AFRO,REPORTING,2022-07-03,,0,,0,0,0,,,,,
Ghana,GHA,AFRO,REPORTING,2023-03-26,22384226,13221421,72.038,42.55,10170298,32.73,,2021-03-02,2,4062970,13.076
Iraq,IRQ,EMRO,REPORTING,2023-01-02,19557364,11332925,48.623,28.176,7944775,19.752,,2021-03-02,10,275280,0.684
Isle of Man,IMN,EURO,OWID,2022-06-23,189994,69560,223.438,81.804,67106,78.919,,,3,53328,62.715
Jamaica,JAM,AMRO,REPORTING,2023-06-02,1525895,858035,51.53,28.976,758800,25.625,,2021-03-10,6,45995,1.553
Liechtenstein,LIE,OTHER,REPORTING,2022-04-10,71104,26681,183.5,68.86,26346,67.995,,2021-01-06,3,18310,47.255
Mali,MLI,AFRO,REPORTING,2023-05-14,5922585,4354292,29.246,21.502,3633589,17.943,,2021-03-31,1,,
Martinique,MTQ,AMRO,REPORTING,2023-06-02,401816,150795,107.075,40.184,145536,38.782,,,2,92919,24.761
Mexico,MEX,AMRO,REPORTING,2023-06-02,222226293,96727823,172.358,75.022,81346379,63.092,,2020-12-24,8,57014052,44.22
Monaco,MCO,EURO,REPORTING,2022-12-04,71027,25319,181,64.517,24933,63.533,,2021-06-30,7,17806,45.373
Montenegro,MNE,EURO,REPORTING,2022-12-04,523735,272152,83.4,43.763,251583,40.456,,2021-02-24,5,0,0
Morocco,MAR,EMRO,REPORTING,2023-05-14,55389602,25020168,150.064,67.786,23521989,63.727,,2021-01-28,10,6884356,18.651
Mozambique,MOZ,AFRO,REPORTING,2023-06-18,34948793,22869646,111.817,73.17,21329745,68.243,,2021-03-08,3,2323562,7.434
Northern Mariana Islands (Commonwealth of the),MNP,WPRO,REPORTING,2023-05-30,123536,46824,214.632,81.352,45953,79.839,,2020-12-19,3,26121,45.383
Norway,NOR,EURO,REPORTING,2023-06-11,12336663,4347197,229.8,80.99,4062204,75.68,,2020-12-23,4,3020810,56.279
Panama,PAN,AMRO,REPORTING,2023-06-02,8901881,3533579,206.312,81.895,3174229,73.567,,2021-01-20,2,1769698,41.015
Peru,PER,AMRO,REPORTING,2023-06-02,89593907,30487563,271.728,92.465,28654963,86.907,,2021-02-09,4,22143074,67.158
Poland,POL,EURO,REPORTING,2023-06-11,58223243,22983299,153.4,60.549,22704578,59.815,,2020-12-23,5,12532074,33.016
Puerto Rico,PRI,AMRO,REPORTING,2023-06-02,7846764,2905470,274.281,101.56,2688410,93.972,,,4,1808780,63.225
Sao Tome and Principe,STP,AFRO,REPORTING,2023-06-04,263275,140256,120.13,63.997,111986,51.098,,2021-03-15,2,34624,15.799
Suriname,SUR,AMRO,REPORTING,2023-06-02,554588,267820,94.538,45.654,237879,40.55,,2021-02-23,5,48889,8.334
New Caledonia,NCL,WPRO,REPORTING,2023-04-03,480497,192371,168.301,67.381,184801,64.729,,2021-01-20,2,103325,36.191
Nigeria,NGA,AFRO,REPORTING,2023-03-19,116606863,82325196,56.567,39.937,69793071,33.857,,2021-03-05,1,12313372,5.973
Niue,NIU,WPRO,REPORTING,2023-03-04,4923,1638,304.265,101.236,1635,101.051,,2021-06-08,1,1225,75.711
occupied Palestinian territory,PSE,EMRO,REPORTING,2022-10-18,3748571,2012767,73.481,39.455,1776973,34.833,,2021-02-02,10,336967,6.605
Saba,XCA,AMRO,REPORTING,2023-06-02,4979,1687,257.579,87.274,1667,86.239,,,,1170,60.528
San Marino,SMR,EURO,REPORTING,2022-05-22,69338,26357,204.3,76.501,23633,68.595,,2021-02-24,2,19348,56.158
South Sudan,SSD,AFRO,REPORTING,2023-05-07,4312900,4262480,38.53,38.079,4220606,37.705,,2021-04-06,2,440238,3.933
Tajikistan,TJK,EURO,REPORTING,2022-12-04,18871161,5311967,197.9,55.695,5170582,54.212,,2021-03-24,6,5200841,54.53
Turks and Caicos Islands,TCA,AMRO,REPORTING,2023-06-02,73907,32815,190.885,84.754,30710,79.317,,2021-01-11,1,7443,19.224
Azerbaijan,AZE,EURO,REPORTING,2023-06-11,13825256,5434679,136.4,53.601,4887727,48.206,,2021-01-20,5,3502852,34.548
Belgium,BEL,EURO,REPORTING,2023-06-11,29118547,9254386,252.7,80.316,9158159,79.481,,2020-12-30,4,7244723,62.875
Bhutan,BTN,SEARO,REPORTING,2022-10-30,2011426,699116,260.68,90.605,677669,87.826,,2021-03-27,5,634641,82.249
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,58.7,28.755,846080,25.789,,,4,,
China,CHN,WPRO,REPORTING,2023-03-23,3515872818,1317994878,238.966,89.581,1284413713,87.299,,2020-07-22,8,833820382,56.673
Cook Islands,COK,WPRO,REPORTING,2023-01-31,40080,15112,228.194,86.04,14728,83.853,,2021-05-17,1,10240,58.301
Czechia,CZE,EURO,REPORTING,2023-06-11,18614714,6972162,174.1,65.197,6887894,64.409,,2020-12-23,9,4365749,40.825
Djibouti,DJI,EMRO,REPORTING,2023-04-18,392703,372077,39.747,37.66,351712,35.598,,2021-03-15,11,,
Dominican Republic,DOM,AMRO,REPORTING,2023-06-02,15972891,7322815,147.244,67.504,6095810,56.193,,2021-02-16,5,2554266,23.546
Germany,DEU,EURO,REPORTING,2023-06-11,193234743,64867580,232.3,77.997,63564568,76.43,,2020-12-23,9,52142370,62.696
Gibraltar,GIB,EURO,OWID,2022-12-16,132810,42175,394.2,125.182,41465,123.074,,,2,49170,145.944
Guatemala,GTM,AMRO,REPORTING,2023-06-02,20370595,8935137,113.703,49.874,7127944,39.786,,2021-02-25,5,3719543,20.762
Israel,ISR,EURO,REPORTING,2022-06-05,17915305,7055466,207,81.514,6385731,73.776,,2020-12-16,3,4474108,51.691
Kazakhstan,KAZ,EURO,REPORTING,2023-04-30,38355605,12443364,204.3,66.27,13070774,69.612,,2021-04-07,5,6801526,36.223
Kuwait,KWT,EMRO,REPORTING,2023-07-04,8260637,3457197,193.432,80.954,3345916,78.348,,2020-12-28,10,1457524,34.129
Lao People's Democratic Republic,LAO,WPRO,REPORTING,2023-05-21,13879410,6324678,190.768,86.93,5691962,78.234,,2020-11-25,8,2451034,33.689
Micronesia (Federated States of),FSM,WPRO,REPORTING,2023-03-28,198749,83871,172.791,72.917,80910,70.342,,2021-01-13,4,30537,26.549
Rwanda,RWA,AFRO,REPORTING,2023-06-04,27322059,10884714,210.945,84.037,10399665,80.293,,2021-03-05,7,4225194,32.621
"Saint Helena, Ascension and Tristan da Cunha",SHN,AFRO,OWID,2021-05-05,7892,4361,129.995,71.833,3531,58.162,,,1,,
Saint Lucia,LCA,AMRO,REPORTING,2023-06-02,122977,60140,66.971,32.751,54971,29.936,,2021-02-17,5,7866,4.284
Serbia,SRB,EURO,REPORTING,2023-03-05,6722671,3398116,97.1,49.058,3324555,47.996,,2020-12-23,5,0,0
Sweden,SWE,EURO,REPORTING,2023-06-11,23226250,7470582,224.9,72.336,7332983,71.004,,2020-12-23,5,5541390,53.656
Tuvalu,TUV,WPRO,REPORTING,2023-02-01,26783,9763,227.129,82.793,9505,80.605,,2021-04-13,1,5745,48.719
Thailand,THA,SEARO,REPORTING,2023-06-23,139279946,57652499,199.542,82.597,54181443,77.624,,2021-02-28,8,27446004,39.321
The United Kingdom,GBR,EURO,REPORTING,2022-09-11,151248820,53813491,222.8,79.068,50762968,74.586,,2020-12-21,3,,
Turkey,TUR,EURO,REPORTING,2023-01-29,139694693,50974980,,61.919,50670345,60.935,,,3,27896331,33.547
Afghanistan,AFG,EMRO,REPORTING,2023-07-09,20472584,17347592,52.59,44.563,16611044,42.671,,2021-02-22,11,2074900,5.33
Burundi,BDI,AFRO,REPORTING,2023-06-11,40041,36909,0.337,0.31,36321,0.305,,2021-10-18,1,314,0.003
Cabo Verde,CPV,AFRO,REPORTING,2022-09-25,859940,356734,154.669,64.162,308720,55.526,,2021-03-18,4,749,0.135
Cayman Islands,CYM,AMRO,REPORTING,2023-06-02,151822,62085,231.013,94.469,60664,92.307,,2021-01-15,1,24064,36.616
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,2022-06-21,9390,3220,269.595,92.449,2976,85.444,,,1,2543,73.012
Faroe Islands,FRO,EURO,OWID,2022-02-18,103894,41715,212.614,85.368,40895,83.69,,,2,21284,43.557
France,FRA,EURO,REPORTING,2023-06-11,158038124,54676037,234.8,81.218,53187210,79.006,,2020-12-23,9,41038200,60.96
Italy,ITA,EURO,REPORTING,2023-06-11,150317622,50581051,252,84.813,49484229,82.969,,2020-12-23,9,44916242,75.31
Kiribati,KIR,WPRO,REPORTING,2023-02-06,219980,100900,184.162,84.471,81474,68.208,,2021-05-26,2,37606,31.483
Nauru,NRU,WPRO,REPORTING,2023-02-20,32157,13106,296.816,120.971,11346,104.726,,2021-04-09,2,7705,71.119
New Zealand,NZL,WPRO,REPORTING,2023-04-21,12252378,4241210,254.081,87.951,4084115,84.693,,2021-02-19,4,2719283,56.391
